type,status,subjects,number,title,date_enacted,term_id,raw_author_text,pdf_url,filename,id,session_id,absent_ids,clean_author_ids
resolution,active,,2020-33,"Resolution Authorizing the Honorable Mayor Caesar P. Perez to Enter Into and Sign in Behalf of the Municipal Government of Los Baños, in a Memorandum of Agreement with the Philippine Army, 564th Engineering Construction Batallion (ECB), 51st Engineering Brigade (EB), Armed Forces of the Philippines (AFP) to Use and Operate Its Backhoe (SAMSUNG) 45,000 Lbs, Capacity for the Lgu?s General Paciano Rizal Park Improvement Project and Ratifying the Same Thereafter. (HON. JANOS S. LAPIZ, 01/31/2020)",2020-01-31,sb_10,,https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-33 .pdf,Resolution No. 2020-33 .pdf,resolution_sb_10_2020-33,sb_10_2020-01-31,"lapiz-janos-s,dizon-mark-lester-b,delos-santos-arlene-p",
resolution,active,,2020-22,"Resolution Approving and Adopting Mtpfrb Resolution No. 2020-01, Dated January 17, 2020, ?resolution Allowing All Tricycle Operators / Owners with Expired Franchises From January 1, 2018 to Apply for Renewal of Franchise Until February 29, 2020?. (AUTHOR: HON. MARLO PJ A. ALIPON, 01/24/2020)",2020-01-24,sb_10,"Hon. Marlo Pj A. Alipon, 01/24/2020",https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-22 .pdf,Resolution No. 2020-22 .pdf,resolution_sb_10_2020-22,sb_10_2020-01-24,,alipon-marlo-pj-a
resolution,active,,2020-23,"Resolution Approving and Adopting Mtpfrb Resolution No. 2020-02, Dated January 17, 2020, ?resolution Granting Temporary Permit to Operate to Recipients of the E-trike Project in the Municipality of Los Baños for a Period of Three (3) Months?. (AUTHOR: HON. MARLO PJ A. ALIPON, 01/24/2020)",2020-01-24,sb_10,"Hon. Marlo Pj A. Alipon, 01/24/2020",https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-23 .pdf,Resolution No. 2020-23 .pdf,resolution_sb_10_2020-23,sb_10_2020-01-24,,alipon-marlo-pj-a
resolution,active,,2020-24,"Resolution Extending Deep Sympathy and Condolence to the Family, Relatives and Friends of Former Sangguniang Barangay Chairman Maximo Erasga, Who Joined His Maker Last January 22, 2019. (AUTHOR: HON. CRIS DAYRIL B. BAGNES 01/24/2020)",2020-01-24,sb_10,HON. CRIS DAYRIL B. BAGNES 01/24/2020,https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-24 .pdf,Resolution No. 2020-24 .pdf,resolution_sb_10_2020-24,sb_10_2020-01-24,,bagnes-cris-dayril-b
resolution,active,,2020-25,"Resolution Giving Recognition and Appreciation to All Volunteer Groups of the Municipality of Los Baños Who Extend Their Help to the Victims of Taal Volcano Eruption. (AUTHOR: HON. DEXTER A. CONCIO, 01/24/2020)",2020-01-24,sb_10,"Hon. Dexter A. Concio, 01/24/2020",https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-25 .pdf,Resolution No. 2020-25 .pdf,resolution_sb_10_2020-25,sb_10_2020-01-24,,
resolution,active,,2020-15,"A Resolution Approving and Adopting the Municipal Nutrition Committee Resolution No. 2019-1 Dated December 16, 2019 Entitled ?resolution Approving the Municipal Nutrition Action Plan for the Period 2019-2021 of the Municipality of Los Baños.? (AUTHOR: HON. MARK LESTER B. DIZON, 01/17/2020)",2020-01-17,sb_10,"Hon. Mark Lester B. Dizon, 01/17/2020",https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-15 .pdf,Resolution No. 2020-15 .pdf,resolution_sb_10_2020-15,sb_10_2020-01-17,,dizon-mark-lester-b
resolution,active,,2020-16,"A Resolution Approving and Adopting the Barangay Ordinance No. 001 Series 2019 of Sangguniang Barangay Malinta Entitled ?an Ordinance Authorizing the City / Municipality of Los Baños to Issue Barangay Clearance and Collect Corresponding Barangay Clearance Fee in the Application for Any Business Related Transactions Subject to the Remittance of the Aforesaid Fees to the Barangay and the Conditions Hereunder.? (AUTHOR: HON. GERONIMO A. CICERON, 01/17/2020)",2020-01-17,sb_10,"Hon. Geronimo A. Ciceron, 01/17/2020",https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-16 .pdf,Resolution No. 2020-16 .pdf,resolution_sb_10_2020-16,sb_10_2020-01-17,,ciceron-jerico
resolution,active,,2020-17,"A Resolution Adopting the Administrative Order No. 20 Series of 2020 of the Office of the President Entitled ?authorizing the Grant of Gratuity Pay for Fiscal Year 2019 to Job Order and Contract of Service Workers in Government.? (AUTHOR: HON. GERONIMO A. CICERON, 01/17/2020)",2020-01-17,sb_10,"Hon. Geronimo A. Ciceron, 01/17/2020",https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-17 .pdf,Resolution No. 2020-17 .pdf,resolution_sb_10_2020-17,sb_10_2020-01-17,,ciceron-jerico
resolution,active,,2020-18,"A Resolution Approving and Adopting the Municipal Disaster Risk Reduction and Management Council Resolution No. 20-01 Dated January 14, 2019, Entitled ?resolution Authorizing the Honorable Mayor Caesar P. Perez to Declare the State of Calamity in the Municipality of Los Baños Due to the Effect of Taal Volcano Eruption As the Need Arises.? (AUTHOR: HON. JANOS S. LAPIZ, 01/17/2020)",2020-01-17,sb_10,"Hon. Janos S. Lapiz, 01/17/2020",https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-18 .pdf,Resolution No. 2020-18 .pdf,resolution_sb_10_2020-18,sb_10_2020-01-17,,lapiz-janos-s
resolution,active,,2020-20,"A Resolution Approving and Adopting the Municipal Disaster Risk Reduction and Management Council Resolution No. 20-03 Dated January 14, 2019, Entitled ?resolution Authorizing the Honorable Mayor Caesar P. Perez to Extend Logistical Support to the Affected Local Government Units (LGUS) of the Taal Volcanic Eruption in the Amount of One Million Pesos (P 1,000,000.00)?. (AUTHOR: HON. JANOS S. LAPIZ, 01/17/2020)",2020-01-17,sb_10,"Hon. Janos S. Lapiz, 01/17/2020",https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-20 .pdf,Resolution No. 2020-20 .pdf,resolution_sb_10_2020-20,sb_10_2020-01-17,,lapiz-janos-s
